한글(국가명),영문(블룸버그),1차접종,2차접종,발생률순위,2차접종률순위,확진자비율(인구),일별접종수,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일,백신접종수,백신보유율(인구)
대한민국,South Korea,82.0,78.8,127.0,13.0,0.008599629582565044,4.8,0.8,89.0,8600,51269185,45037.0,1702.0,647.0,3928.0,440896,3928.0,3548,56.0,392311.0,2170.0,84150240.0,162.7
베네수엘라,Venezuela,49.8,33.3,115.0,110.0,0.015123326325769432,-999.0,1.2,97.0,15123,28435940,7778.0,-225.0,681.0,686.0,430046,686.0,5131,7.0,417137.0,904.0,23156914.0,83.2
슬로베니아,Slovenia,59.3,55.3,6.0,74.0,0.20076404394936262,13.1,1.2,89.4,200764,2078938,39204.0,-890.0,197.0,1478.0,417376,1478.0,5188,23.0,372984.0,2345.0,2642406.0,127.8
쿠웨이트,Kuwait,30.6,19.4,47.0,132.0,0.09677066603037393,-999.0,0.6,99.3,96771,4270571,226.0,-8.0,,21.0,413266,21.0,2465,,410575.0,29.0,2668082.0,56.2
우루과이,Uruguay,78.8,75.4,30.0,27.0,0.1149142276457871,39.1,1.5,97.9,114914,3473730,2144.0,97.0,13.0,291.0,399181,291.0,6125,1.0,390912.0,193.0,6781682.0,192.7
몽골,Mongolia,68.5,65.2,29.0,50.0,0.11620234939556903,-999.0,0.5,82.2,116202,3278290,65699.0,324.0,192.0,329.0,380945,329.0,1990,5.0,313256.0,,4959860.0,150.4
온두라스,Honduras,40.8,40.2,95.0,96.0,0.03815275053316098,-999.0,2.8,31.8,38153,9904607,247177.0,,59.0,,377888,,10403,,120308.0,,7916340.0,81.0
리비아,Libya,25.3,9.6,83.0,145.0,0.05407585647648215,-999.0,1.5,92.0,54076,6871292,24410.0,-1944.0,,784.0,371571,784.0,5438,8.0,341723.0,2720.0,2291638.0,34.8
에티오피아,Ethiopia,6.8,1.5,149.0,170.5,0.003228648361253304,-999.0,1.8,93.8,3229,114963588,16142.0,-101.0,226.0,119.0,371177,119.0,6736,9.0,348299.0,211.0,8005606.0,8.3
몰도바,Moldova,35.9,34.6,54.0,105.0,0.08981887042593102,-999.0,2.5,95.5,89819,4033963,7205.0,-375.0,205.0,498.0,362326,498.0,9054,32.0,346067.0,841.0,1607196.0,59.9
이집트,Egypt,23.8,14.1,144.0,137.0,0.003476514115428864,-999.0,5.7,83.0,3477,102334404,40028.0,332.0,90.0,931.0,355767,931.0,20305,68.0,295434.0,531.0,36906764.0,37.2
아르메니아,Armenia,24.9,12.5,31.0,139.0,0.11404093420620584,-999.0,2.2,93.3,114041,2963243,15291.0,-726.0,,409.0,337931,409.0,7514,29.0,315126.0,1106.0,1110891.0,37.4
오만,Oman,78.9,67.4,78.0,43.0,0.059632132840744555,-999.0,1.4,98.5,59632,5106626,455.0,,7.0,,304519,,4113,,299951.0,,5934585.0,141.5
바레인,Bahrain,80.0,78.0,12.0,15.0,0.1631147613240674,-999.0,0.5,99.4,163115,1701575,269.0,-8.0,2.0,16.0,277552,16.0,1394,,275889.0,24.0,2899607.0,195.4
싱가포르,Singapore,88.9,87.9,93.0,3.0,0.04472148807710729,-999.0,0.3,94.1,44721,5850342,14684.0,-142.0,58.0,1761.0,261636,1761.0,690,6.0,246262.0,1897.0,10083329.0,176.8
노르웨이,Norway,79.1,71.3,90.0,35.0,0.04781193088445985,9.5,0.4,34.3,47812,5421241,169198.0,1891.0,62.0,1891.0,259200,1891.0,1050,,88952.0,,8563552.0,159.9
케냐,Kenya,9.3,5.5,137.0,152.0,0.004741395855513693,-999.0,2.1,97.3,4741,53771296,1488.0,1.0,20.0,47.0,254951,47.0,5332,,248131.0,46.0,6915627.0,14.5
라트비아,Latvia,66.0,61.2,22.0,60.5,0.13382105166053618,-999.0,1.6,93.7,133821,1886198,11689.0,-265.0,176.0,488.0,252413,488.0,4146,16.0,236578.0,737.0,2177752.0,113.4
카타르,Qatar,84.4,79.4,60.0,11.0,0.08438997824753658,-999.0,0.3,98.9,84390,2881053,1994.0,25.0,17.0,153.0,243132,153.0,611,,240527.0,128.0,4957916.0,177.4
에스토니아,Estonia,62.3,59.2,11.0,69.0,0.1670133091098237,-999.0,0.8,90.7,167013,1326535,18911.0,-295.0,38.0,389.0,221549,389.0,1791,2.0,200847.0,682.0,1656161.0,125.0
북마케도니아,North Macedonia,42.6,38.0,43.0,97.0,0.10304246861101271,3.0,3.5,92.6,103042,2083374,8393.0,110.0,,463.0,214676,463.0,7528,17.0,198755.0,336.0,1675793.0,80.6
나이지리아,Nigeria,3.1,1.7,164.0,167.0,0.0010380441769484658,-999.0,1.4,96.8,1038,206139589,3823.0,-12.0,11.0,58.0,213982,58.0,2975,,207184.0,70.0,9640048.0,4.8
잠비아,Zambia,4.4,3.6,120.0,157.0,0.011430782984401344,-999.0,1.7,98.2,11431,18383955,90.0,-10.0,15.0,5.0,210143,5.0,3667,,206386.0,15.0,1057879.0,5.8
알제리,Algeria,15.4,12.2,136.0,140.0,0.004788483485136637,-999.0,2.9,68.6,4788,43851044,59899.0,30.0,21.0,163.0,209980,163.0,6052,6.0,144029.0,127.0,12032500.0,27.7
호주,Australia,78.2,73.1,129.0,31.0,0.008157056714454073,1.6,1.0,91.6,8157,25499884,15444.0,484.0,73.0,1260.0,208004,1260.0,1994,4.0,190566.0,772.0,39073840.0,153.1
알바니아,Albania,37.2,33.2,70.0,111.0,0.06919772311945561,2.1,1.5,94.7,69198,2877797,7459.0,-151.0,23.0,405.0,199137,405.0,3085,8.0,188593.0,548.0,2081782.0,72.5
