국가명,eng_code,발생률,인구수,확진자_합계,백신접종,접종률(인구),발생률_순위,접종률_순위,확진자비율_전체인구,1차접종,2차접종,위중증,치명(%),완치(%),확진자1일,사망자합계,사망자1일,완치합계,완치1일,접종비율(일간)
핀란드,Finland,20013,5540720,110885,5880854.0,53.3,98.0,41.0,0.02001274202630705,68.0,38.6,18,0.9,41.5,165.0,984,,46000.0,,37987.0
코소보,Kosovo,59381,1810463,107507,487685.0,13.5,58.0,113.0,0.059380942885880576,17.9,9.2,,2.1,98.0,,2269,,105323.0,,8410.0
가나,Ghana,3435,31072940,106434,1271393.0,2.1,135.0,148.5,0.0034252954499960414,2.9,1.3,36,0.8,92.8,,854,,98814.0,,761.0
키프로스,Cyprus,87458,1207359,104994,1014151.0,57.9,31.0,34.0,0.0869617073298,62.1,53.6,85,0.4,76.4,525.0,437,4.0,80178.0,,5264.0
몬테네그로,Montenegro,164701,628066,103443,346493.0,27.8,3.0,76.5,0.16470084354192074,30.2,25.4,6,1.6,96.1,285.0,1635,,99413.0,134.0,2361.0
우간다,Uganda,2087,45741007,95226,1152874.0,1.4,145.0,155.5,0.0020818518490421517,2.9,0.05,560,2.9,92.9,,2771,,88502.0,,1997.0
중국,Mainland China,65,1439323776,93608,1757780000.0,62.8,176.0,23.0,6.503609650647499e-05,44.4,15.9,,5.0,93.5,100.0,4636,,87526.0,34.0,17197856.0
엘살바도르,El Salvador,13624,6486205,88371,4664353.0,36.1,105.0,66.0,0.013624453744523955,47.0,25.3,151,3.0,87.1,,2691,,76952.0,,99207.0
카메룬,Cameroon,3091,26545863,82064,349845.0,0.7,137.0,167.5,0.003091404487396021,1.2,0.2,152,1.6,98.0,,1334,,80433.0,,2567.0
캄보디아,Cambodia,4898,16718965,81335,13393448.0,40.6,122.0,56.0,0.004864834635397586,48.1,33.9,,1.9,91.9,522.0,1537,11.0,74745.0,700.0,248599.0
몰디브,Maldives,144749,540544,78130,604808.0,81.3,8.0,2.0,0.14453957494672035,87.7,74.9,11,0.3,96.4,131.0,222,,75353.0,100.0,2414.0
르완다,Rwanda,5840,12952218,74993,854194.0,3.4,121.0,136.5,0.0057899735782705325,3.6,3.3,"44
+7",1.2,59.9,629.0,874,14.0,44948.0,25.0,4836.0
룩셈부르크,Luxembourg,118634,625978,74262,726230.0,59.1,10.0,30.5,0.11863356220186652,64.5,53.8,5,1.1,97.7,50.0,824,,72536.0,89.0,3502.0
세네갈,Senegal,3995,16743927,66898,1204245.0,3.7,130.0,135.0,0.00399535903375594,5.5,1.9,"65
+1",2.2,74.9,648.0,1467,10.0,50101.0,410.0,42527.0
싱가포르,Singapore,11228,5850342,65686,8101676.0,71.0,109.0,8.0,0.011227719678610242,77.7,66.5,"7
-1",0.1,96.7,81.0,41,1.0,63536.0,79.0,81691.0
말라위,Malawi,2912,19129952,55218,636522.0,1.6,139.0,153.0,0.0028864682985090605,2.2,0.7,285,3.2,73.7,503.0,1776,28.0,40711.0,261.0,4004.0
자메이카,Jamaica,18398,2961167,54165,369960.0,6.8,100.0,127.0,0.018291774830666425,8.7,4.9,"52
+15",2.2,87.1,326.0,1214,3.0,47152.0,25.0,5312.0
콩고민주공화국,DR Congo,575,89561403,51523,86170.0,0.05,170.0,178.0,0.0005752812961181504,0.1,-999.0,,2.0,58.6,269.0,1048,3.0,30189.0,146.0,532.0
코트디부아르,Ivory Coast,1941,26378274,51028,1098505.0,2.1,149.0,148.5,0.0019344707693915075,4.2,0.4,,0.7,97.6,135.0,338,,49789.0,79.0,26115.0
앙골라,Angola,1326,32866272,43487,1680590.0,2.8,156.0,144.0,0.0013231497627719992,3.2,2.4,8,2.4,92.0,218.0,1042,10.0,40012.0,165.0,3533.0
마다가스카르,Madagascar,1541,27691018,42685,197001.0,0.4,152.0,172.0,0.0015414745676738935,0.7,-999.0,27,2.2,96.5,,943,,41177.0,,178.0
수단,Sudan,847,43849260,37138,819035.0,0.9,162.0,164.5,0.0008469470180340557,1.5,0.4,,7.5,83.1,,2776,,30867.0,,565.0
피지,Fiji,40518,896445,36322,628823.0,35.1,77.0,69.0,0.04051782317933616,54.1,16.1,40,0.8,32.5,682.0,296,6.0,11798.0,297.0,8350.0
호주,Australia,1425,25499884,36051,13496355.0,26.4,155.0,83.0,0.001413771137154977,34.9,17.1,59,2.6,84.5,353.0,939,6.0,30462.0,,184239.0
카보베르데,Cape Verde,61170,555987,33976,183620.0,16.7,57.0,105.0,0.06110934248462644,29.4,-999.0,23,0.9,97.8,35.0,298,,33230.0,25.0,3453.0
에스와티니,Eswatini,26537,1160164,30377,76399.0,3.4,90.0,136.5,0.02618336717912295,3.9,2.9,10,2.7,75.0,980.0,835,8.0,22796.0,350.0,1272.0
